id,date,matchweek,home_team_id,away_team_id,home_team_score,away_team_score,attendance,youtube_id
341,11/4/2023,11,17,20,2,1,"29,454",FEWAYst24OY
342,12/5/2023,15,20,6,1,0,"30,439",1EY5yjPR5Uo
343,12/9/2023,16,20,16,1,1,"31,543",DhihrgNbTIk
344,12/27/2023,19,4,20,1,4,"17,109",VJcJuxiJpAM
345,12/30/2023,20,20,9,3,0,"31,639",jvAMoZNaAyI
346,2/10/2024,24,20,4,0,2,"30,731",3oPWIZWFRC8
347,2/25/2024,26,20,17,1,0,"30,789",fFrE5GeoT1E
348,4/2/2024,31,6,20,1,1,"21,528",KJ8_cmsSVG8
349,4/13/2024,33,16,20,2,2,"29,604",YRomMJhLsMw
350,4/27/2024,35,20,12,2,1,"31,531",2zafX7cZVGg
351,9/2/2023,4,17,9,2,2,"31,124",ViqI5deDUWE
352,9/23/2023,6,4,9,1,3,"16,981",O4DaT54IkVs
353,9/30/2023,7,9,12,1,2,"39,289",obISqh1ZKyU
354,12/2/2023,14,16,9,0,1,"29,404",WEnWd4BFOn0
355,12/16/2023,17,6,9,0,2,"21,413",BsX37MdUQos
356,4/6/2024,32,9,6,1,0,"39,125",pREoIpdKu64
357,4/21/2024,34,9,16,2,0,"39,239",KTt5jCcxJSI
358,4/27/2024,35,9,4,1,0,"39,098",0uzdr9Ep-Lg
359,5/3/2024,36,12,9,1,1,"11,873",0aao2VBEDIM
360,5/11/2024,37,9,17,1,0,"39,221",dTqbyCbaBtY
361,10/1/2023,7,16,4,1,1,"29,004",7Z8nh8VWsXo
362,10/21/2023,9,4,6,3,0,"17,029",paN6UG-xsRU
363,12/2/2023,14,4,12,3,1,"17,075",PYUFmt_GLnA
364,12/9/2023,16,17,4,1,0,"28,509",37l84VtY9uA
365,1/20/2024,21,4,16,3,2,"17,077",rNpWRxzlTXQ
366,3/16/2024,29,6,4,2,1,"20,431",emoDvMlxLuY
367,4/13/2024,33,4,17,2,0,"17,115",eaNZnNaMSYM
368,4/20/2024,34,12,4,1,5,"11,877",xOOTO2rqYJQ
